date,sales
1992-01-01,14134
1992-02-01,14472
1992-03-01,14543
1992-04-01,14529
1992-05-01,14634
1992-06-01,14597
1992-07-01,14469
1992-08-01,14729
1992-09-01,14816
1992-10-01,14870
1992-11-01,14994
1992-12-01,15310
1993-01-01,15334
1993-02-01,15119
1993-03-01,14985
1993-04-01,15406
1993-05-01,15523
1993-06-01,15517
1993-07-01,15757
1993-08-01,15775
1993-09-01,15785
1993-10-01,15985
1993-11-01,15987
1993-12-01,15988
1994-01-01,16036
1994-02-01,16203
1994-03-01,16663
1994-04-01,16337
1994-05-01,16301
1994-06-01,16478
1994-07-01,16543
1994-08-01,16635
1994-09-01,16676
1994-10-01,16796
1994-11-01,16866
1994-12-01,16949
1995-01-01,17205
1995-02-01,16680
1995-03-01,16904
1995-04-01,16985
1995-05-01,16997
1995-06-01,17269
1995-07-01,17487
1995-08-01,17231
1995-09-01,17440
1995-10-01,17188
1995-11-01,17283
1995-12-01,17332
1996-01-01,17082
1996-02-01,17336
1996-03-01,17248
1996-04-01,17675
1996-05-01,17624
1996-06-01,17544
1996-07-01,17581
1996-08-01,17737
1996-09-01,17866
1996-10-01,18017
1996-11-01,17970
1996-12-01,18117
1997-01-01,18138
1997-02-01,18185
1997-03-01,18238
1997-04-01,18096
1997-05-01,18194
1997-06-01,18276
1997-07-01,18529
1997-08-01,18556
1997-09-01,18446
1997-10-01,18580
1997-11-01,18652
1997-12-01,18427
1998-01-01,18474
1998-02-01,18698
1998-03-01,18529
1998-04-01,18649
1998-05-01,18653
1998-06-01,18553
1998-07-01,18489
1998-08-01,18548
1998-09-01,18589
1998-10-01,18692
1998-11-01,18805
1998-12-01,18855
1999-01-01,19059
1999-02-01,19351
1999-03-01,19372
1999-04-01,19075
1999-05-01,19032
1999-06-01,19270
1999-07-01,19203
1999-08-01,19191
1999-09-01,19343
1999-10-01,19256
1999-11-01,19116
1999-12-01,19249
2000-01-01,19204
2000-02-01,19158
2000-03-01,19227
2000-04-01,19208
2000-05-01,19397
2000-06-01,19217
2000-07-01,19132
2000-08-01,19203
2000-09-01,19362
2000-10-01,19319
2000-11-01,19529
2000-12-01,19677
2001-01-01,19904
2001-02-01,19170
2001-03-01,18542
2001-04-01,19073
2001-05-01,18991
2001-06-01,18889
2001-07-01,19121
2001-08-01,19093
2001-09-01,18864
2001-10-01,18955
2001-11-01,19135
2001-12-01,19038
2002-01-01,18935
2002-02-01,18811
2002-03-01,18905
2002-04-01,19018
2002-05-01,18530
2002-06-01,18604
2002-07-01,18297
2002-08-01,18261
2002-09-01,18041
2002-10-01,18541
2002-11-01,18010
2002-12-01,17917
2003-01-01,17807
2003-02-01,17670
2003-03-01,17763
2003-04-01,17687
2003-05-01,17838
2003-06-01,17912
2003-07-01,18140
2003-08-01,18207
2003-09-01,18157
2003-10-01,17889
2003-11-01,17810
2003-12-01,17791
2004-01-01,17800
2004-02-01,17871
2004-03-01,18165
2004-04-01,17752
2004-05-01,17921
2004-06-01,17695
2004-07-01,17888
2004-08-01,17896
2004-09-01,17943
2004-10-01,18016
2004-11-01,17942
2004-12-01,18137
2005-01-01,18034
2005-02-01,18173
2005-03-01,17818
2005-04-01,18153
2005-05-01,17808
2005-06-01,18263
2005-07-01,17858
2005-08-01,17822
2005-09-01,17557
2005-10-01,18070
2005-11-01,18048
2005-12-01,17765
2006-01-01,18107
2006-02-01,17981
2006-03-01,17888
2006-04-01,17932
2006-05-01,17757
2006-06-01,17847
2006-07-01,17584
2006-08-01,17490
2006-09-01,17826
2006-10-01,17657
2006-11-01,17609
2006-12-01,17713
2007-01-01,18064
2007-02-01,17586
2007-03-01,17798
2007-04-01,17480
2007-05-01,17521
2007-06-01,17328
2007-07-01,17559
2007-08-01,17527
2007-09-01,17260
2007-10-01,17292
2007-11-01,17346
2007-12-01,17199
2008-01-01,16813
2008-02-01,16822
2008-03-01,16697
2008-04-01,16708
2008-05-01,16916
2008-06-01,17059
2008-07-01,16779
2008-08-01,16645
2008-09-01,16079
2008-10-01,16016
2008-11-01,16329
2008-12-01,15839
2009-01-01,15861
2009-02-01,15627
2009-03-01,15532
2009-04-01,15638
2009-05-01,15727
2009-06-01,15427
2009-07-01,15493
2009-08-01,15539
2009-09-01,15493
2009-10-01,15620
2009-11-01,15482
2009-12-01,15459
2010-01-01,15523
2010-02-01,15459
2010-03-01,15407
2010-04-01,15680
2010-05-01,15358
2010-06-01,15358
2010-07-01,15146
2010-08-01,15169
2010-09-01,15150
2010-10-01,15120
2010-11-01,15619
2010-12-01,15254
2011-01-01,15204
2011-02-01,15440
2011-03-01,15325
2011-04-01,15464
2011-05-01,15225
2011-06-01,15548
2011-07-01,15229
2011-08-01,15054
2011-09-01,15185
2011-10-01,15098
2011-11-01,15143
2011-12-01,15053
2012-01-01,14972
2012-02-01,15211
2012-03-01,15111
2012-04-01,14812
2012-05-01,14626
2012-06-01,14719
2012-07-01,14723
2012-08-01,14703
2012-09-01,14669
2012-10-01,14509
2012-11-01,14380
2012-12-01,14392
2013-01-01,14729
2013-02-01,14502
2013-03-01,14374
2013-04-01,14158
2013-05-01,14290
2013-06-01,14188
2013-07-01,14058
2013-08-01,14014
2013-09-01,14103
2013-10-01,14219
2013-11-01,14031
2013-12-01,13952
2014-01-01,13698
2014-02-01,14110
2014-03-01,14107
2014-04-01,14412
2014-05-01,14215
2014-06-01,13993
2014-07-01,14078
2014-08-01,14117
2014-09-01,13854
2014-10-01,13874
2014-11-01,13916
2014-12-01,13975
2015-01-01,13944
2015-02-01,13773
2015-03-01,13866
2015-04-01,13745
2015-05-01,13960
2015-06-01,13665
2015-07-01,13648
2015-08-01,13639
2015-09-01,13710
2015-10-01,13636
2015-11-01,13630
2015-12-01,13535
2016-01-01,13222
2016-02-01,13221
2016-03-01,13142
2016-04-01,12895
2016-05-01,12760
2016-06-01,13059
2016-07-01,12803
2016-08-01,12832
2016-09-01,12725
2016-10-01,12627
2016-11-01,12320
2016-12-01,12310
2017-01-01,12605
2017-02-01,12419
2017-03-01,12419
2017-04-01,12398
2017-05-01,12274
2017-06-01,12283
2017-07-01,12119
2017-08-01,12068
2017-09-01,12127
2017-10-01,11977
2017-11-01,12059
2017-12-01,11905
2018-01-01,12105
2018-02-01,12111
2018-03-01,11444
2018-04-01,12198
2018-05-01,12326
2018-06-01,11806
2018-07-01,11866
2018-08-01,11762
2018-09-01,11638
2018-10-01,11712
2018-11-01,11832
2018-12-01,11457
2019-01-01,11408
2019-02-01,11447
2019-03-01,11379
2019-04-01,11359
2019-05-01,11361
2019-06-01,11194
2019-07-01,11496
2019-08-01,11323
2019-09-01,10960
2019-10-01,10910
2019-11-01,11117
2019-12-01,10921
2020-01-01,10861
2020-02-01,10868
2020-03-01,8830
2020-04-01,6191
2020-05-01,8765
2020-06-01,9565
2020-07-01,9580
2020-08-01,9395
2020-09-01,10307
2020-10-01,9852
2020-11-01,9501
2020-12-01,9655
2021-01-01,10383
2021-02-01,9882
2021-03-01,11264
2021-04-01,11097
2021-05-01,11343
2021-06-01,11497
2021-07-01,11291
2021-08-01,11246
2021-09-01,11305
2021-10-01,11399
2021-11-01,11224
2021-12-01,11206
2022-01-01,11227
2022-02-01,11412
2022-03-01,11479
2022-04-01,11516
2022-05-01,11592
2022-06-01,11377
2022-07-01,11338
2022-08-01,11444
2022-09-01,11604
2022-10-01,11346
2022-11-01,11054
2022-12-01,11288
2023-01-01,11907
2023-02-01,11742
