date,sales,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_4,time
1992-01-01,14134,,,,,0
1992-02-01,14472,14134.0,,,,1
1992-03-01,14543,14472.0,14134.0,,,2
1992-04-01,14529,14543.0,14472.0,14134.0,,3
1992-05-01,14634,14529.0,14543.0,14472.0,14134.0,4
1992-06-01,14597,14634.0,14529.0,14543.0,14472.0,5
1992-07-01,14469,14597.0,14634.0,14529.0,14543.0,6
1992-08-01,14729,14469.0,14597.0,14634.0,14529.0,7
1992-09-01,14816,14729.0,14469.0,14597.0,14634.0,8
1992-10-01,14870,14816.0,14729.0,14469.0,14597.0,9
1992-11-01,14994,14870.0,14816.0,14729.0,14469.0,10
1992-12-01,15310,14994.0,14870.0,14816.0,14729.0,11
1993-01-01,15334,15310.0,14994.0,14870.0,14816.0,12
1993-02-01,15119,15334.0,15310.0,14994.0,14870.0,13
1993-03-01,14985,15119.0,15334.0,15310.0,14994.0,14
1993-04-01,15406,14985.0,15119.0,15334.0,15310.0,15
1993-05-01,15523,15406.0,14985.0,15119.0,15334.0,16
1993-06-01,15517,15523.0,15406.0,14985.0,15119.0,17
1993-07-01,15757,15517.0,15523.0,15406.0,14985.0,18
1993-08-01,15775,15757.0,15517.0,15523.0,15406.0,19
1993-09-01,15785,15775.0,15757.0,15517.0,15523.0,20
1993-10-01,15985,15785.0,15775.0,15757.0,15517.0,21
1993-11-01,15987,15985.0,15785.0,15775.0,15757.0,22
1993-12-01,15988,15987.0,15985.0,15785.0,15775.0,23
1994-01-01,16036,15988.0,15987.0,15985.0,15785.0,24
1994-02-01,16203,16036.0,15988.0,15987.0,15985.0,25
1994-03-01,16663,16203.0,16036.0,15988.0,15987.0,26
1994-04-01,16337,16663.0,16203.0,16036.0,15988.0,27
1994-05-01,16301,16337.0,16663.0,16203.0,16036.0,28
1994-06-01,16478,16301.0,16337.0,16663.0,16203.0,29
1994-07-01,16543,16478.0,16301.0,16337.0,16663.0,30
1994-08-01,16635,16543.0,16478.0,16301.0,16337.0,31
1994-09-01,16676,16635.0,16543.0,16478.0,16301.0,32
1994-10-01,16796,16676.0,16635.0,16543.0,16478.0,33
1994-11-01,16866,16796.0,16676.0,16635.0,16543.0,34
1994-12-01,16949,16866.0,16796.0,16676.0,16635.0,35
1995-01-01,17205,16949.0,16866.0,16796.0,16676.0,36
1995-02-01,16680,17205.0,16949.0,16866.0,16796.0,37
1995-03-01,16904,16680.0,17205.0,16949.0,16866.0,38
1995-04-01,16985,16904.0,16680.0,17205.0,16949.0,39
1995-05-01,16997,16985.0,16904.0,16680.0,17205.0,40
1995-06-01,17269,16997.0,16985.0,16904.0,16680.0,41
1995-07-01,17487,17269.0,16997.0,16985.0,16904.0,42
1995-08-01,17231,17487.0,17269.0,16997.0,16985.0,43
1995-09-01,17440,17231.0,17487.0,17269.0,16997.0,44
1995-10-01,17188,17440.0,17231.0,17487.0,17269.0,45
1995-11-01,17283,17188.0,17440.0,17231.0,17487.0,46
1995-12-01,17332,17283.0,17188.0,17440.0,17231.0,47
1996-01-01,17082,17332.0,17283.0,17188.0,17440.0,48
1996-02-01,17336,17082.0,17332.0,17283.0,17188.0,49
1996-03-01,17248,17336.0,17082.0,17332.0,17283.0,50
1996-04-01,17675,17248.0,17336.0,17082.0,17332.0,51
1996-05-01,17624,17675.0,17248.0,17336.0,17082.0,52
1996-06-01,17544,17624.0,17675.0,17248.0,17336.0,53
1996-07-01,17581,17544.0,17624.0,17675.0,17248.0,54
1996-08-01,17737,17581.0,17544.0,17624.0,17675.0,55
1996-09-01,17866,17737.0,17581.0,17544.0,17624.0,56
1996-10-01,18017,17866.0,17737.0,17581.0,17544.0,57
1996-11-01,17970,18017.0,17866.0,17737.0,17581.0,58
